CustomerID,InvoiceNo,InvoiceDate,StockCode,Description,Quantity,UnitPrice,Country
C001,INV-1001,2024-01-03,SKU-A01,Ceramic Coffee Mug,6,4.50,Kenya
C002,INV-1002,2024-01-05,SKU-B02,Scented Candle Set,3,12.99,Uganda
C003,INV-1003,2024-01-07,SKU-C03,Wooden Picture Frame,2,8.75,Kenya
C001,INV-1004,2024-01-10,SKU-D04,Linen Throw Blanket,1,24.99,Kenya
C004,INV-1005,2024-01-12,SKU-A01,Ceramic Coffee Mug,12,4.50,Tanzania
C005,INV-1006,2024-01-15,SKU-E05,Glass Vase Set,4,15.00,Kenya
C002,INV-1007,2024-01-18,SKU-F06,Bamboo Desk Organiser,2,11.50,Uganda
C006,INV-1008,2024-01-20,SKU-G07,Personalised Notebook,5,7.25,Rwanda
C003,INV-1009,2024-01-22,SKU-B02,Scented Candle Set,1,12.99,Kenya
C007,INV-1010,2024-01-25,SKU-H08,Herb Garden Kit,3,18.00,Kenya
C008,INV-1011,2024-01-28,SKU-C03,Wooden Picture Frame,6,8.75,Tanzania
C004,INV-1012,2024-02-01,SKU-I09,Copper Water Bottle,4,22.00,Tanzania
C009,INV-1013,2024-02-03,SKU-A01,Ceramic Coffee Mug,8,4.50,Kenya
C001,INV-1014,2024-02-05,SKU-J10,Handwoven Basket,2,16.50,Kenya
C010,INV-1015,2024-02-08,SKU-E05,Glass Vase Set,3,15.00,Uganda
C005,INV-1016,2024-02-10,SKU-K11,Soy Wax Candle,10,6.75,Kenya
C011,INV-1017,2024-02-12,SKU-D04,Linen Throw Blanket,2,24.99,Tanzania
C006,INV-1018,2024-02-14,SKU-L12,Pressed Flower Cards,20,3.50,Rwanda
C007,INV-1019,2024-02-18,SKU-F06,Bamboo Desk Organiser,1,11.50,Kenya
C012,INV-1020,2024-02-20,SKU-M13,Ceramic Plant Pot,5,9.00,Kenya
C008,INV-1021,2024-02-22,SKU-A01,Ceramic Coffee Mug,4,4.50,Tanzania
C013,INV-1022,2024-02-25,SKU-N14,Recycled Glass Bowl,3,13.75,Kenya
C009,INV-1023,2024-02-28,SKU-G07,Personalised Notebook,6,7.25,Kenya
C002,INV-1024,2024-03-02,SKU-H08,Herb Garden Kit,2,18.00,Uganda
C014,INV-1025,2024-03-05,SKU-O15,Lemon Verbena Soap,15,4.00,Kenya
C010,INV-1026,2024-03-07,SKU-B02,Scented Candle Set,4,12.99,Uganda
C003,INV-1027,2024-03-10,SKU-P16,Rattan Storage Box,1,29.99,Kenya
C015,INV-1028,2024-03-12,SKU-I09,Copper Water Bottle,2,22.00,Kenya
C011,INV-1029,2024-03-15,SKU-A01,Ceramic Coffee Mug,9,4.50,Tanzania
C004,INV-1030,2024-03-18,SKU-Q17,Silk Scrunchie Set,7,5.50,Tanzania
C016,INV-1031,2024-03-20,SKU-L12,Pressed Flower Cards,30,3.50,Kenya
C012,INV-1032,2024-03-22,SKU-C03,Wooden Picture Frame,4,8.75,Kenya
C005,INV-1033,2024-03-25,SKU-R18,Knitted Pot Holder,8,3.25,Kenya
C017,INV-1034,2024-03-28,SKU-E05,Glass Vase Set,2,15.00,Rwanda
C013,INV-1035,2024-04-01,SKU-M13,Ceramic Plant Pot,6,9.00,Kenya
C006,INV-1036,2024-04-03,SKU-S19,Dried Flower Wreath,1,35.00,Rwanda
C018,INV-1037,2024-04-05,SKU-A01,Ceramic Coffee Mug,15,4.50,Kenya
C007,INV-1038,2024-04-08,SKU-T20,Cork Board Set,3,14.00,Kenya
C014,INV-1039,2024-04-10,SKU-D04,Linen Throw Blanket,3,24.99,Kenya
C019,INV-1040,2024-04-12,SKU-B02,Scented Candle Set,5,12.99,Tanzania
C008,INV-1041,2024-04-15,SKU-N14,Recycled Glass Bowl,4,13.75,Tanzania
C020,INV-1042,2024-04-18,SKU-K11,Soy Wax Candle,12,6.75,Kenya
C015,INV-1043,2024-04-20,SKU-F06,Bamboo Desk Organiser,3,11.50,Kenya
C001,INV-1044,2024-04-22,SKU-U21,Artisan Jam Set,2,19.50,Kenya
C009,INV-1045,2024-04-25,SKU-H08,Herb Garden Kit,4,18.00,Kenya
C016,INV-1046,2024-04-28,SKU-V22,Handmade Soap Bar,20,3.00,Kenya
C010,INV-1047,2024-05-02,SKU-A01,Ceramic Coffee Mug,6,4.50,Uganda
C021,INV-1048,2024-05-05,SKU-P16,Rattan Storage Box,2,29.99,Kenya
C011,INV-1049,2024-05-07,SKU-G07,Personalised Notebook,8,7.25,Tanzania
C022,INV-1050,2024-05-10,SKU-W23,Beeswax Lip Balm,25,2.50,Kenya
C012,INV-1051,2024-05-12,SKU-C03,Wooden Picture Frame,3,8.75,Kenya
C002,INV-1052,2024-05-15,SKU-S19,Dried Flower Wreath,1,35.00,Uganda
C023,INV-1053,2024-05-18,SKU-I09,Copper Water Bottle,5,22.00,Kenya
C013,INV-1054,2024-05-20,SKU-E05,Glass Vase Set,6,15.00,Kenya
C024,INV-1055,2024-05-22,SKU-Q17,Silk Scrunchie Set,10,5.50,Rwanda
C003,INV-1056,2024-05-25,SKU-T20,Cork Board Set,2,14.00,Kenya
C025,INV-1057,2024-05-28,SKU-A01,Ceramic Coffee Mug,20,4.50,Tanzania
C014,INV-1058,2024-06-01,SKU-X24,Jute Shopping Bag,15,6.00,Kenya
C004,INV-1059,2024-06-03,SKU-L12,Pressed Flower Cards,40,3.50,Tanzania
C026,INV-1060,2024-06-05,SKU-M13,Ceramic Plant Pot,8,9.00,Kenya
C015,INV-1061,2024-06-08,SKU-B02,Scented Candle Set,6,12.99,Kenya
C005,INV-1062,2024-06-10,SKU-Y25,Wooden Spoon Set,4,10.00,Kenya
C027,INV-1063,2024-06-12,SKU-D04,Linen Throw Blanket,2,24.99,Kenya
C016,INV-1064,2024-06-15,SKU-V22,Handmade Soap Bar,30,3.00,Kenya
C017,INV-1065,2024-06-18,SKU-N14,Recycled Glass Bowl,5,13.75,Rwanda
C028,INV-1066,2024-06-20,SKU-A01,Ceramic Coffee Mug,10,4.50,Kenya
C018,INV-1067,2024-06-22,SKU-Z26,Raffia Table Runner,3,21.00,Kenya
C006,INV-1068,2024-06-25,SKU-H08,Herb Garden Kit,5,18.00,Rwanda
C029,INV-1069,2024-06-28,SKU-K11,Soy Wax Candle,18,6.75,Kenya
C019,INV-1070,2024-07-01,SKU-F06,Bamboo Desk Organiser,4,11.50,Tanzania
C030,INV-1071,2024-07-03,SKU-B02,Scented Candle Set,8,12.99,Kenya
C007,INV-1072,2024-07-05,SKU-P16,Rattan Storage Box,3,29.99,Kenya
C020,INV-1073,2024-07-08,SKU-A01,Ceramic Coffee Mug,7,4.50,Kenya
C031,INV-1074,2024-07-10,SKU-W23,Beeswax Lip Balm,50,2.50,Kenya
C021,INV-1075,2024-07-12,SKU-E05,Glass Vase Set,4,15.00,Kenya
C008,INV-1076,2024-07-15,SKU-C03,Wooden Picture Frame,5,8.75,Tanzania
C032,INV-1077,2024-07-18,SKU-U21,Artisan Jam Set,3,19.50,Kenya
C022,INV-1078,2024-07-20,SKU-I09,Copper Water Bottle,6,22.00,Kenya
C009,INV-1079,2024-07-22,SKU-T20,Cork Board Set,4,14.00,Kenya
C033,INV-1080,2024-07-25,SKU-M13,Ceramic Plant Pot,10,9.00,Tanzania
C023,INV-1081,2024-07-28,SKU-G07,Personalised Notebook,5,7.25,Kenya
C010,INV-1082,2024-08-01,SKU-X24,Jute Shopping Bag,20,6.00,Uganda
C034,INV-1083,2024-08-03,SKU-A01,Ceramic Coffee Mug,12,4.50,Kenya
C024,INV-1084,2024-08-05,SKU-S19,Dried Flower Wreath,2,35.00,Rwanda
C011,INV-1085,2024-08-08,SKU-Q17,Silk Scrunchie Set,14,5.50,Tanzania
C035,INV-1086,2024-08-10,SKU-B02,Scented Candle Set,7,12.99,Kenya
C025,INV-1087,2024-08-12,SKU-Y25,Wooden Spoon Set,6,10.00,Tanzania
C012,INV-1088,2024-08-15,SKU-D04,Linen Throw Blanket,4,24.99,Kenya
C036,INV-1089,2024-08-18,SKU-V22,Handmade Soap Bar,35,3.00,Kenya
C026,INV-1090,2024-08-20,SKU-L12,Pressed Flower Cards,25,3.50,Kenya
C013,INV-1091,2024-08-22,SKU-N14,Recycled Glass Bowl,6,13.75,Kenya
C037,INV-1092,2024-08-25,SKU-K11,Soy Wax Candle,15,6.75,Kenya
C027,INV-1093,2024-08-28,SKU-A01,Ceramic Coffee Mug,18,4.50,Kenya
C014,INV-1094,2024-09-01,SKU-Z26,Raffia Table Runner,4,21.00,Kenya
C038,INV-1095,2024-09-03,SKU-H08,Herb Garden Kit,6,18.00,Kenya
C028,INV-1096,2024-09-05,SKU-F06,Bamboo Desk Organiser,5,11.50,Kenya
C015,INV-1097,2024-09-08,SKU-E05,Glass Vase Set,8,15.00,Kenya
C039,INV-1098,2024-09-10,SKU-M13,Ceramic Plant Pot,12,9.00,Tanzania
C029,INV-1099,2024-09-12,SKU-W23,Beeswax Lip Balm,40,2.50,Kenya
C016,INV-1100,2024-09-15,SKU-A01,Ceramic Coffee Mug,25,4.50,Kenya
C040,INV-1101,2024-09-18,SKU-P16,Rattan Storage Box,3,29.99,Rwanda
C030,INV-1102,2024-09-20,SKU-T20,Cork Board Set,5,14.00,Kenya
C001,INV-1103,2024-09-22,SKU-B02,Scented Candle Set,9,12.99,Kenya
C041,INV-1104,2024-09-25,SKU-I09,Copper Water Bottle,7,22.00,Kenya
C031,INV-1105,2024-09-28,SKU-X24,Jute Shopping Bag,25,6.00,Kenya
C017,INV-1106,2024-10-01,SKU-U21,Artisan Jam Set,5,19.50,Rwanda
C042,INV-1107,2024-10-03,SKU-A01,Ceramic Coffee Mug,30,4.50,Kenya
C032,INV-1108,2024-10-05,SKU-G07,Personalised Notebook,10,7.25,Kenya
C018,INV-1109,2024-10-08,SKU-S19,Dried Flower Wreath,4,35.00,Kenya
C043,INV-1110,2024-10-10,SKU-D04,Linen Throw Blanket,6,24.99,Tanzania
C033,INV-1111,2024-10-12,SKU-V22,Handmade Soap Bar,40,3.00,Kenya
C019,INV-1112,2024-10-15,SKU-C03,Wooden Picture Frame,8,8.75,Tanzania
C044,INV-1113,2024-10-18,SKU-B02,Scented Candle Set,12,12.99,Kenya
C034,INV-1114,2024-10-20,SKU-L12,Pressed Flower Cards,50,3.50,Kenya
C020,INV-1115,2024-10-22,SKU-Q17,Silk Scrunchie Set,16,5.50,Kenya
C045,INV-1116,2024-10-25,SKU-A01,Ceramic Coffee Mug,20,4.50,Kenya
C035,INV-1117,2024-10-28,SKU-N14,Recycled Glass Bowl,7,13.75,Kenya
C021,INV-1118,2024-11-01,SKU-E05,Glass Vase Set,10,15.00,Kenya
C046,INV-1119,2024-11-03,SKU-Z26,Raffia Table Runner,5,21.00,Kenya
C036,INV-1120,2024-11-05,SKU-H08,Herb Garden Kit,8,18.00,Kenya
C022,INV-1121,2024-11-08,SKU-K11,Soy Wax Candle,20,6.75,Tanzania
C047,INV-1122,2024-11-10,SKU-A01,Ceramic Coffee Mug,35,4.50,Kenya
C037,INV-1123,2024-11-12,SKU-F06,Bamboo Desk Organiser,6,11.50,Kenya
C023,INV-1124,2024-11-15,SKU-P16,Rattan Storage Box,4,29.99,Kenya
C048,INV-1125,2024-11-18,SKU-Y25,Wooden Spoon Set,8,10.00,Kenya
C038,INV-1126,2024-11-20,SKU-W23,Beeswax Lip Balm,60,2.50,Kenya
C024,INV-1127,2024-11-22,SKU-B02,Scented Candle Set,15,12.99,Rwanda
C049,INV-1128,2024-11-25,SKU-I09,Copper Water Bottle,9,22.00,Kenya
C039,INV-1129,2024-11-28,SKU-M13,Ceramic Plant Pot,14,9.00,Kenya
C025,INV-1130,2024-12-01,SKU-A01,Ceramic Coffee Mug,40,4.50,Tanzania
C050,INV-1131,2024-12-03,SKU-S19,Dried Flower Wreath,6,35.00,Kenya
C040,INV-1132,2024-12-05,SKU-T20,Cork Board Set,7,14.00,Kenya
C026,INV-1133,2024-12-08,SKU-D04,Linen Throw Blanket,8,24.99,Kenya
C001,INV-1134,2024-12-10,SKU-V22,Handmade Soap Bar,50,3.00,Kenya
C041,INV-1135,2024-12-12,SKU-L12,Pressed Flower Cards,60,3.50,Kenya
C027,INV-1136,2024-12-15,SKU-U21,Artisan Jam Set,10,19.50,Kenya
C002,INV-1137,2024-12-18,SKU-E05,Glass Vase Set,12,15.00,Uganda
C042,INV-1138,2024-12-20,SKU-X24,Jute Shopping Bag,30,6.00,Kenya
C028,INV-1139,2024-12-22,SKU-A01,Ceramic Coffee Mug,50,4.50,Kenya
C003,INV-1140,2024-12-27,SKU-N14,Recycled Glass Bowl,8,13.75,Kenya
